
Car Make,Car Model,Year,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD),MPG
McLaren,570S,2021,3.8,562.0,443,2.8,"192,500",18.5
BMW,M4,2022,3.0,503.0,479,3.8,"71,800",20.3
Mercedes-Benz,AMG C63,2021,4.0,503.0,516,3.8,"68,000",18.3
Chevrolet,Camaro SS,2021,6.2,455.0,455,4.1,"42,500",14.100000000000001
Ford,Mustang GT,2022,5.0,460.0,420,4.3,"39,000",16.5
Nissan,370Z Nismo,2021,3.7,350.0,276,4.8,"46,100",19.4
Aston Martin,Vantage,2021,4.0,503.0,505,3.5,"142,100",18.3
Lotus,Evora GT,2021,3.5,416.0,317,3.8,"105,000",19.6
Porsche,Panamera,2021,2.9,325.0,331,5.1,"87,200",21.1
Lamborghini,Urus,2021,4.0,641.0,627,3.2,"218,000",17.9
Ferrari,Roma,2021,3.9,612.0,560,3.4,"222,000",18.2
Audi,S5,2022,3.0,349.0,369,4.4,"52,500",20.8
McLaren,600LT,2021,3.8,592.0,457,2.8,"241,000",18.4
BMW,M5,2022,4.4,600.0,553,3.2,"103,500",17.2
Aston Martin,Vantage,2022,4.0,503.0,505,3.5,"146,000",18.3
Audi,RS5,2021,2.9,444.0,443,3.6,"75,400",20.7
BMW,M2,2022,3.0,405.0,406,4,"58,900",20.6
Chevrolet,Camaro SS,2021,6.2,455.0,455,4,"42,900",14.100000000000001
Dodge,Challenger SRT Hellcat Redeye,2022,6.2,797.0,707,3.4,"78,595",12.9
Ford,GT,2021,3.5,660.0,550,3,"500,000",18.8
Jaguar,F-Type,2022,2.0,296.0,295,5.4,"62,750",23.0
Lamborghini,Aventador,2021,6.5,770.0,531,2.9,"417,826",12.4
Maserati,GranTurismo,2021,4.7,454.0,384,4.7,"150,980",17.1
McLaren,Artura,2022,3.0,671.0,531,3,"225,000",19.8
Mercedes-Benz,C63 AMG,2021,4.0,503.0,516,3.8,"70,100",18.3
Nissan,370Z,2021,3.7,332.0,270,5,"30,090",19.5
Porsche,Panamera,2022,2.9,325.0,331,5.3,"88,700",21.1
Audi,TT RS,2021,2.5,394.0,354,3.6,"67,600",21.7
BMW,M4,2022,3.0,473.0,406,4.1,"72,800",20.4
Chevrolet,Corvette Stingray,2021,6.2,490.0,465,2.8,"59,900",14.0
Ferrari,F8 Tributo,2021,3.9,710.0,568,2.8,"274,280",17.8
Ford,Mustang Mach 1,2021,5.0,480.0,420,4.3,"52,915",16.4
Lamborghini,Urus,2021,4.0,641.0,627,3.6,"218,009",17.9
Porsche,718 Cayman,2022,2.0,300.0,280,4.5,"61,000",23.0
Acura,NSX,2022,3.5,573.0,476,2.9,"159,495",19.1
Aston Martin,Vantage,2022,4.0,503.0,505,3.5,"142,086",18.3
Bentley,Continental GT,2021,6.0,626.0,664,3.3,"219,800",13.9
Bugatti,Chiron,2022,8.0,1500.0,1180,2.4,"3,000,000",7.0
Dodge,Challenger SRT Hellcat Redeye,2022,6.2,797.0,707,3.4,"74,290",12.9
Jaguar,F-Type,2022,3.0,380.0,339,4.9,"71,900",20.7
Koenigsegg,Jesko,2022,5.0,1600.0,1106,2.5,"3,000,000",12.7
Lexus,LC 500,2022,5.0,471.0,398,4.4,"92,950",16.4
Lotus,Evora GT,2021,3.5,416.0,317,3.8,"105,000",19.6
Maserati,GranTurismo,2022,4.7,454.0,384,4.7,"134,300",17.1
Mazda,MX-5 Miata,2021,2.0,181.0,151,6.5,"26,830",23.4
McLaren,GT,2022,4.0,620.0,465,3.1,"213,195",17.9
Mercedes-Benz,SLS AMG,2015,6.2,622.0,468,3.7,"221,580",13.5
Pagani,Huayra,2022,6.0,764.0,738,2.8,"2,800,000",13.5
Porsche,718 Cayman GT4,2022,4.0,414.0,309,4.2,"100,550",18.6
Rimac,Nevera,2022,,1914.0,1696,1.95,"2,400,000",17.99333333333333
Rolls-Royce,Wraith,2021,6.8,624.0,605,4.4,"330,000",12.3
Tesla,Roadster,2022,,,737,1.9,"200,000",17.99333333333333
Toyota,Supra,2022,3.0,382.0,368,3.9,"43,090",20.7
W Motors,Fenyr Supersport,2022,3.8,800.0,723,2.7,"1,700,000",17.7
Porsche,718 Cayman,2022,2.0,300.0,280,4.7,"60,500",23.0
Lamborghini,Aventador,2021,6.5,770.0,531,2.9,"522,000",12.4
Ferrari,SF90 Stradale,2021,4.0,986.0,590,2.5,"625,000",16.7
Audi,TT RS,2022,2.5,394.0,354,3.4,"67,000",21.7
McLaren,GT,2021,4.0,612.0,465,3.1,"212,500",18.0
BMW,M4,2022,3.0,503.0,479,3.8,"75,000",20.3
Mercedes-Benz,SL 63 AMG,2021,4.0,603.0,664,3.5,"155,000",18.0
Chevrolet,Camaro ZL1,2021,6.2,650.0,650,3.5,"64,000",13.4
Ford,GT,2022,3.5,660.0,550,2.8,"500,000",18.8
Nissan,370Z,2021,3.7,332.0,270,4.7,"31,015",19.5
Aston Martin,DBS Superleggera,2021,5.2,715.0,664,3.4,"304,995",15.2
Bugatti,Chiron,2021,8.0,1500.0,1180,2.4,"3,000,000",7.0
Lotus,Evora GT,2021,3.5,416.0,317,3.8,"105,000",19.6
McLaren,570S,2021,3.8,562.0,443,3.2,"192,500",18.5
Porsche,Panamera Turbo S E-Hybrid,2021,4.0,690.0,642,3.2,"190,000",17.7
Lamborghini,Urus,2021,4.0,641.0,627,3.6,"222,000",17.9
Ferrari,Roma,2021,3.9,611.0,561,3.3,"222,000",18.2
Audi,RS7,2021,4.0,591.0,590,3.5,"115,000",18.0
BMW,M2,2022,3.0,405.0,406,4.2,"59,000",20.6
Porsche,Cayman GT4,2022,4.0,414.0,309,4.2,"102,100",18.6
Lamborghini,Aventador,2021,6.5,730.0,509,2.9,"417,826",12.6
Aston Martin,DBS Superleggera,2021,5.2,715.0,664,3.2,"304,995",15.2
Bentley,Continental GT,2021,6.0,626.0,664,3.6,"220,300",13.9
Audi,RS7,2022,4.0,591.0,590,3.5,"114,000",18.0
Mercedes-Benz,SLS AMG,2021,6.2,622.0,468,3.7,"239,100",13.5
McLaren,570S,2021,3.8,562.0,443,3.1,"192,500",18.5
BMW,M2,2022,3.0,405.0,406,4,"58,900",20.6
Chevrolet,Camaro ZL1,2021,6.2,650.0,650,3.5,"62,500",13.4
Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656,3.5,"65,290",13.2
Ferrari,Portofino,2021,3.9,592.0,560,3.5,"219,750",18.2
Porsche,Panamera Turbo S,2022,4.0,620.0,604,2.9,"187,700",17.9
Lamborghini,Urus,2021,4.0,641.0,627,3.6,"222,004",17.9
Mercedes-Benz,AMG C63,2021,4.0,469.0,479,3.8,"71,350",18.4
Aston Martin,Vantage,2021,4.0,503.0,505,3.6,"146,000",18.3
Audi,S5,2022,3.0,349.0,369,4.4,"52,500",20.8
Porsche,Cayman,2022,2.5,365.0,309,4.5,"68,900",21.8
Lamborghini,Aventador,2021,6.5,730.0,507,2.8,"517,770",12.6
Ferrari,F8 Tributo,2022,3.9,710.0,568,2.9,"276,550",17.8
Audi,TT RS,2021,2.5,394.0,354,3.6,"67,600",21.7
McLaren,570S,2021,3.8,562.0,443,3.1,"192,500",18.5
BMW,Z4 M40i,2022,3.0,382.0,369,3.9,"63,700",20.7
Mercedes-Benz,SLS AMG,2015,6.2,622.0,468,3.7,"221,580",13.5
Chevrolet,Camaro SS,2022,6.2,455.0,455,4.1,"44,000",14.100000000000001
Ford,Mustang Mach 1,2021,5.0,480.0,420,4,"51,720",16.4
Nissan,370Z Nismo,2021,3.7,350.0,276,4.9,"45,790",19.4
Porsche,Panamera,2022,2.9,325.0,331,5.4,"88,550",21.1
Lamborghini,Urus,2021,4.0,641.0,627,3.5,"218,009",17.9
Ferrari,Roma,2021,3.9,612.0,561,3.3,"222,620",18.2
Audi,RS 3,2022,2.5,401.0,369,3.6,"56,200",21.7
McLaren,GT,2021,4.0,612.0,465,3.2,"200,000",18.0
BMW,M2 CS,2022,3.0,444.0,406,3.8,"84,595",20.5
Mercedes-Benz,AMG C63,2021,4.0,503.0,516,3.8,"77,500",18.3
Chevrolet,Camaro ZL1,2021,6.2,650.0,650,3.5,"62,500",13.4
Acura,NSX,2021,3.5,573.0,476,2.7,"157,500",19.1
Aston Martin,DB11,2022,4.0,503.0,513,3.7,"204,100",18.3
Bentley,Continental GT,2021,6.0,626.0,664,3.4,"220,300",13.9
Bugatti,Chiron,2021,8.0,1500.0,1180,2.4,"3,000,000",7.0
Dodge,Viper,2017,8.4,645.0,600,3.3,"120,000",9.0
Jaguar,F-Type,2022,3.0,380.0,339,4.9,"69,900",20.7
Koenigsegg,Jesko,2022,5.0,1600.0,1106,2.5,"3,000,000",12.7
Lexus,LC 500,2022,5.0,471.0,398,4.4,"92,950",16.4
Lotus,Evora GT,2021,3.5,416.0,317,3.8,"105,950",19.6
Maserati,GranTurismo,2020,4.7,454.0,384,4.8,"150,000",17.1
McLaren,570S,2020,3.8,562.0,443,3.1,"204,550",18.5
Pagani,Huayra,2020,6.0,720.0,738,3,"2,700,000",13.6
Porsche,Cayman GT4,2022,4.0,414.0,309,4.2,"102,900",18.6
Rimac,C_Two,2022,,1914.0,1696,1.9,"2,400,000",17.99333333333333
Rolls-Royce,Wraith,2021,6.6,624.0,605,4.3,"330,000",12.7
Shelby,Cobra,1965,7.0,435.0,440,4.2,"1,000,000",12.6
Tesla,Model S Plaid,2021,,1020.0,1050,1.98,"131,190",17.99333333333333
Toyota,GR Supra,2022,3.0,382.0,368,3.9,"43,090",20.7
TVR,Griffith,2022,5.0,500.0,479,3.8,"123,500",16.3
W Motors,Lykan Hypersport,2015,3.7,780.0,708,2.8,"3,400,000",18.0
Porsche,718 Cayman,2021,2.0,300.0,280,4.5,"61,500",23.0
Lamborghini,Aventador SVJ,2021,6.5,770.0,531,2.8,"518,000",12.4
Ferrari,SF90 Stradale,2022,4.0,986.0,590,2.5,"507,000",16.7
Audi,RS 6,2021,4.0,591.0,590,3.5,"109,000",18.0
McLaren,GT,2021,4.0,612.0,465,3.1,"210,000",18.0
BMW,M2 CS,2022,3.0,444.0,406,3.8,"84,595",20.5
Mercedes-Benz,SLS AMG,2015,6.2,622.0,468,3.6,"228,000",13.5
Chevrolet,Camaro SS,2021,6.2,455.0,455,4,"42,000",14.100000000000001
Ford,GT,2022,3.5,660.0,550,2.8,"500,000",18.8
Nissan,370Z Nismo,2021,3.7,350.0,276,5,"45,000",19.4
Porsche,Taycan,2021,,750.0,774,2.6,"185,000",17.99333333333333
Lamborghini,Urus,2021,4.0,641.0,627,3.6,"222,004",17.9
Ferrari,F8 Tributo,2021,3.9,710.0,568,2.9,"276,550",17.8
Audi,RS 3,2022,2.5,401.0,354,3.5,"56,000",21.7
McLaren,570S,2021,3.8,562.0,443,3.1,"191,000",18.5
BMW,M5,2022,4.4,600.0,553,3.2,"104,000",17.2
Mercedes-Benz,AMG C 63,2021,4.0,469.0,479,3.9,"69,900",18.4
Chevrolet,Camaro ZL1,2021,6.2,650.0,650,3.5,"64,000",13.4
Porsche,Taycan,2022,2.0,402.0,254,5.1,"81,250",22.7
Lamborghini,Aventador,2021,6.5,730.0,509,2.9,"517,700",12.6
Aston Martin,DBS Superleggera,2022,5.2,715.0,663,3.4,"330,000",15.2
Audi,RS 6 Avant,2021,4.0,591.0,590,3.5,"109,000",18.0
McLaren,600LT,2021,3.8,592.0,457,2.8,"242,500",18.4
Mercedes-AMG,C 63 S Coupe,2022,4.0,503.0,516,3.7,"77,000",18.3
BMW,M4,2022,3.0,473.0,406,4.1,"72,800",20.4
Chevrolet,Camaro ZL1,2021,6.2,650.0,650,3.5,"62,000",13.4
Dodge,Challenger SRT Hellcat Redeye,2022,6.2,797.0,707,3.5,"76,000",12.9
Ford,GT,2022,3.5,660.0,550,2.9,"500,000",18.8
Nissan,370Z,2021,3.7,332.0,270,4.9,"30,090",19.5
Porsche,Panamera,2022,2.9,325.0,332,5.3,"87,200",21.1
Lamborghini,Urus,2021,4.0,641.0,626,3.5,"218,000",17.9
Bugatti,Chiron,2021,8.0,1500.0,1180,2.3,"3,000,000",7.0
Ferrari,F8 Tributo,2021,3.9,710.0,568,2.9,"274,280",17.8
Audi,RS 7,2021,4.0,591.0,590,3.5,"114,000",18.0
McLaren,570S,2021,3.8,562.0,443,3.1,"191,000",18.5
Aston Martin,Vantage,2022,4.0,503.0,505,3.5,"142,086",18.3
Jaguar,F-Type,2022,5.0,575.0,516,3.5,"103,200",16.1
Porsche,Panamera Turbo S,2021,4.0,620.0,604,2.9,"177,700",17.9
Lamborghini,Aventador S,2021,6.5,729.0,509,2.9,"417,650",12.6
Ferrari,SF90 Stradale,2021,4.0,986.0,590,2.5,"625,000",16.7
Audi,RS7,2022,4.0,591.0,590,3.5,"115,045",18.0
McLaren,600LT,2021,3.8,592.0,457,2.9,"256,500",18.4
BMW,M2 Competition,2022,3.0,405.0,406,4,"59,895",20.6
Mercedes-Benz,S63 AMG,2021,4.0,603.0,664,3.4,"152,500",18.0
Chevrolet,Camaro ZL1,2021,6.2,650.0,650,3.5,"64,695",13.4
Dodge,Challenger SRT Hellcat,2022,6.2,717.0,656,3.5,"69,995",13.2
Ford,GT,2022,3.5,660.0,550,2.9,"500,000",18.8
Porsche,Taycan Turbo S,2021,,750.0,774,2.6,"185,000",17.99333333333333
Lamborghini,Urus,2021,4.0,641.0,627,3.2,"218,009",17.9
Ferrari,812 Superfast,2021,6.5,789.0,530,2.9,"363,730",12.4
Audi,R8 Spyder,2022,5.2,562.0,406,3.5,"183,300",15.7
McLaren,GT,2021,4.0,612.0,465,3.1,"210,000",18.0
BMW,M4,2022,3.0,473.0,406,4.1,"73,795",20.4
Mercedes-Benz,AMG GT R,2021,4.0,577.0,516,3.5,"183,000",18.1
Chevrolet,Corvette Stingray,2021,6.2,495.0,470,2.9,"60,995",14.0
Aston Martin,DB11,2022,5.2,630.0,516,3.5,"207,000",15.5
Bentley,Continental GT,2022,6.0,626.0,664,3.5,"203,825",13.9
Jaguar,F-Type R,2021,5.0,575.0,516,3.5,"103,200",16.1
Acura,NSX,2022,3.5,573.0,476,2.7,"157,500",19.1
Lotus,Evora GT,2021,3.5,416.0,317,3.7,"99,800",19.6
Porsche,Cayman GT4,2021,4.0,414.0,309,4.2,"100,200",18.6
Alfa Romeo,4C,2020,1.7,237.0,258,4.1,"67,150",23.8
Audi,RS5,2022,2.9,444.0,443,3.7,"77,250",20.7
BMW,M2 Competition,2021,3.0,405.0,406,4,"58,900",20.6
Chevrolet,Camaro ZL1,2021,6.2,650.0,650,3.5,"64,695",13.4
Dodge,Charger SRT Hellcat,2022,6.2,717.0,650,3.6,"71,490",13.2
Ford,GT,2022,3.5,660.0,550,2.8,"500,000",18.8
Lexus,LC 500,2022,5.0,471.0,398,4.4,"92,950",16.4
Maserati,GranTurismo,2020,4.7,454.0,384,4.8,"150,400",17.1
Nissan,370Z Nismo,2021,3.7,350.0,276,4.6,"47,820",19.4
Rolls-Royce,Wraith,2022,6.8,624.0,605,4.4,"330,000",12.3
Subaru,WRX STI,2021,2.5,310.0,290,4.6,"38,170",22.0
Tesla,Model S Plaid,2022,,1020.0,1050,1.9,"131,190",17.99333333333333
Porsche,Cayman GT4,2021,4.0,414.0,309,4.2,"102,000",18.6
Lamborghini,Aventador,2021,6.5,729.0,507,2.9,"393,695",12.6
Ferrari,Portofino,2022,3.9,591.0,413,3.3,"218,750",18.2
Audi,RS7,2021,4.0,591.0,590,3.5,"114,000",18.0
McLaren,600LT,2021,3.8,592.0,457,2.8,"256,500",18.4
BMW,M2,2022,3.0,405.0,406,4,"58,900",20.6
Mercedes-Benz,AMG GT,2021,4.0,523.0,494,3.8,"118,500",18.3
Chevrolet,Camaro SS,2021,6.2,455.0,455,4.1,"40,590",14.100000000000001
Ford,Mustang Mach 1,2021,5.0,480.0,420,4,"52,720",16.4
Nissan,370Z Nismo,2021,3.7,350.0,276,4.6,"45,000",19.4
Porsche,Panamera Turbo,2022,4.0,620.0,604,3.1,"174,300",17.9
Lamborghini,Urus,2021,4.0,641.0,627,3.2,"222,004",17.9
Ferrari,SF90 Stradale,2022,4.0,986.0,590,2.5,"625,000",16.7
Audi,TT RS,2022,2.5,394.0,354,3.4,"67,895",21.7
McLaren,GT,2021,4.0,612.0,465,3.1,"210,000",18.0
Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656,3.5,"62,290",13.2
Aston Martin,DBS Superleggera,2021,5.2,715.0,663,3.2,"304,995",15.2
Jaguar,F-Type R,2021,5.0,575.0,516,3.5,"103,200",16.1
Lexus,LC 500,2022,5.0,471.0,398,4.4,"93,050",16.4
Porsche,Cayman GT4,2022,4.0,414.0,309,4.2,"101,200",18.6
BMW,M2 Competition,2022,3.0,405.0,406,4,"59,895",20.6
Audi,RS 5 Coupe,2021,2.9,444.0,443,3.7,"75,100",20.7
Chevrolet,Camaro ZL1,2021,6.2,650.0,650,3.5,"64,195",13.4
Lotus,Evora GT,2022,3.5,416.0,317,3.8,"105,000",19.6
McLaren,GT,2021,4.0,612.0,465,3.1,"211,000",18.0
Mercedes-Benz,SLS AMG Black Series,2014,6.2,622.0,468,3.5,"275,000",13.5
Bugatti,Chiron,2021,8.0,1500.0,1180,2.4,"2,998,000",7.0
Koenigsegg,Jesko,2021,5.0,1280.0,1015,2.5,"3,000,000",13.7
Ferrari,SF90 Stradale,2021,4.0,986.0,590,2.5,"625,000",16.7
Lamborghini,Aventador SVJ,2020,6.5,770.0,531,2.8,"573,966",12.4
Rimac,C_Two,2022,,1914.0,1732,1.85,"2,400,000",17.99333333333333
Pagani,Huayra Roadster BC,2021,6.0,791.0,774,2.5,"3,500,000",13.4
Pininfarina,Battista,2022,,1874.0,1696,1.9,"2,500,000",17.99333333333333
Acura,NSX,2022,3.5,573.0,476,2.9,"157,500",19.1
Aston Martin,Vantage,2021,4.0,503.0,505,3.5,"146,000",18.3
Bentley,Continental GT,2022,4.0,542.0,568,3.9,"219,800",18.2
Dodge,Challenger SRT Hellcat,2022,6.2,717.0,656,3.5,"70,000",13.2
Jaguar,F-Type,2022,2.0,296.0,295,5.4,"61,600",23.0
Kia,Stinger,2022,3.3,368.0,376,4.7,"52,200",20.2
Lotus,Evora GT,2021,3.5,416.0,317,3.8,"100,450",19.6
Maserati,GranTurismo,2021,4.7,454.0,384,4.8,"134,300",17.1
Porsche,718 Cayman GT4,2022,4.0,414.0,309,4.2,"102,550",18.6
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505.0,443,3.8,"76,400",20.5
Audi,RS7,2021,4.0,591.0,590,3.5,"114,000",18.0
BMW,M5,2022,4.4,600.0,553,3.2,"103,500",17.2
Chevrolet,Camaro ZL1,2022,6.2,650.0,650,3.5,"69,000",13.4
Ford,GT,2022,3.5,660.0,550,3,"500,000",18.8
Lamborghini,Aventador,2021,6.5,770.0,531,2.8,"417,826",12.4
McLaren,Artura,2021,3.0,671.0,531,3,"225,000",19.8
Mercedes-Benz,SLS AMG,2021,4.0,577.0,516,3.6,"247,500",18.1
Nissan,370Z Nismo,2021,3.7,350.0,276,4.8,"45,790",19.4
Porsche,Taycan,2022,,616.0,774,2.6,"79,900",17.99333333333333
Tesla,Model S,2022,,1020.0,1050,1.98,"119,000",17.99333333333333
Aston Martin,DBS Superleggera,2022,5.2,715.0,664,3.2,"307,820",15.2
Bentley,Continental GT,2022,4.0,542.0,568,3.4,"207,825",18.2
Bugatti,Chiron,2021,8.0,1479.0,1180,2.3,"2,998,000",7.1
McLaren,570S,2021,3.8,562.0,443,3.1,"202,500",18.5
Porsche,Taycan Turbo S,2021,,750.0,774,2.6,"185,000",17.99333333333333
Lamborghini,Aventador S,2021,6.5,730.0,509,2.9,"417,826",12.6
Ferrari,F8 Tributo,2022,3.9,710.0,568,2.8,"276,550",17.8
Audi,RS 7,2022,4.0,591.0,590,3.5,"114,000",18.0
BMW,M2 CS,2022,3.0,444.0,406,4,"84,595",20.5
Mercedes-Benz,SLS AMG,2021,6.2,622.0,468,3.2,"275,000",13.5
Chevrolet,Camaro ZL1,2021,6.2,650.0,650,3.5,"63,000",13.4
Ford,GT,2022,3.5,660.0,550,3,"500,000",18.8
Jaguar,F-Type,2021,5.0,575.0,516,3.5,"103,200",16.1
Lotus,Evora GT,2021,3.5,416.0,317,3.8,"96,950",19.6
Maserati,GranTurismo,2022,4.7,454.0,384,4.8,"134,300",17.1
McLaren,765LT,2021,4.0,755.0,590,2.8,"358,000",17.5
Nissan,370Z,2021,3.7,332.0,270,5,"30,000",19.5
Pagani,Huayra,2021,6.0,730.0,738,3,"2,600,000",13.6
Porsche,Panamera Turbo S,2021,4.0,620.0,604,2.9,"180,000",17.9
Tesla,Model S Plaid,2021,,1020.0,1050,1.9,"131,100",17.99333333333333
Aston Martin,DB11,2021,4.0,503.0,513,4,"201,495",18.3
Dodge,Challenger Hellcat Redeye,2022,6.2,797.0,707,3.4,"82,190",12.9
Lotus,Evora,2021,3.5,416.0,317,3.8,"96,950",19.6
Acura,NSX,2021,3.5,573.0,476,2.7,"159,495",19.1
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505.0,443,3.8,"76,950",20.5
Bentley,Continental GT,2021,6.0,626.0,664,3.3,"202,500",13.9
Jaguar,F-Type,2022,3.0,380.0,339,4.9,"70,100",20.7
Koenigsegg,Jesko,2022,5.0,1280.0,1015,2.5,"3,000,000",13.7
Lexus,LC 500,2021,5.0,471.0,398,4.4,"92,950",16.4
Maserati,GranTurismo,2022,4.7,454.0,384,4.8,"132,795",17.1
McLaren,GT,2022,4.0,612.0,465,3.1,"215,500",18.0
Mercedes-AMG,C 63 S Coupe,2022,4.0,503.0,516,3.7,"80,900",18.3
Porsche,718 Cayman,2021,2.0,300.0,280,4.9,"59,900",23.0
Rolls-Royce,Wraith,2021,6.8,624.0,605,4.3,"330,000",12.3
Tesla,Roadster,2022,,,-,1.9,"200,000",17.99333333333333
Chevrolet,Camaro SS,2021,6.2,455.0,455,4,"40,000",14.100000000000001
Ford,GT,2022,3.5,660.0,550,3,"500,000",18.8
Acura,NSX,2022,3.5,573.0,476,2.7,"157,500",19.1
Aston Martin,DB11,2021,5.2,630.0,516,3.7,"209,000",15.5
Bentley,Continental GT,2022,4.0,542.0,568,3.9,"202,500",18.2
Bugatti,Chiron,2021,8.0,1500.0,1180,2.4,"3,000,000",7.0
Dodge,Challenger Hellcat,2022,6.2,717.0,656,3.5,"67,500",13.2
Jaguar,F-Type,2021,5.0,575.0,516,3.5,"103,200",16.1
Koenigsegg,Jesko,2022,5.0,1280.0,1106,2.5,"2,800,000",13.7
Lexus,LC,2021,5.0,471.0,398,4.4,"92,950",16.4
Lotus,Evora GT,2021,3.5,416.0,317,3.8,"104,200",19.6
Maserati,GranTurismo,2021,4.7,454.0,384,4.7,"133,050",17.1
McLaren,570S,2021,3.8,562.0,443,3.1,"196,350",18.5
Mercedes-Benz,AMG C63,2022,4.0,503.0,516,3.8,"69,900",18.3
Pagani,Huayra BC,2021,6.0,791.0,774,2.7,"2,600,000",13.4
Porsche,Cayman GT4,2022,4.0,414.0,309,4.2,"102,900",18.6
Rimac,Nevera,2022,,1914.0,1696,1.85,"2,400,000",17.99333333333333
Rolls-Royce,Wraith,2021,6.7,624.0,605,4.4,"338,000",12.5
Tesla,Roadster,2022,,,"10,000+",1.9,"200,000",17.99333333333333
Acura,NSX,2022,3.5,573.0,476,2.7,"157,500",19.1
Aston Martin,Vantage,2021,4.0,503.0,505,3.5,"150,000",18.3
Bentley,Continental GT,2021,6.0,626.0,664,3.6,"218,400",13.9
Dodge,Challenger SRT Hellcat Redeye,2021,6.2,797.0,707,3.5,"73,000",12.9
Jaguar,F-Type R,2022,5.0,575.0,516,3.5,"103,200",16.1
Lexus,LC 500,2021,5.0,471.0,398,4.4,"92,950",16.4
Lotus,Evora GT,2021,3.5,416.0,317,3.8,"104,970",19.6
Maserati,GranTurismo,2021,4.7,454.0,384,4.8,"132,400",17.1
Porsche,Cayman GT4,2021,4.0,414.0,309,4.2,"101,200",18.6
